ID,TEMPORADA,NOM_INCEN,CAUSA,SUPERFICIE,CODREG,CODPROV,CODCOM,REGION,COMUNA,PROVINCIA,FECHA_INI,FECHA_TER,SHAPE_Leng,SHAPE_Area
27,2018-2019,26 - BAHIA MANSA,"1.4.1. USO DE FUEGO PARA ACTIVIDADES RECREATIVAS EN CREAS NO HABILITADAS  (EXCURSIONISTAS, PASEANTES, ASADOS)",208.23,11,114,11401,Regi1n de Aysen,Chile Chico,General Carrera,"""2019-02-05T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",13648.6850286,2082279.97271
28,2018-2019,25 - COLONIA SUR,"1.8.1. QUEMA DE BASURAS, DESECHOS VEGETALES U OTROS NO CLASIFICADOS (DISTINTOS DE VERTEDEROS O BASURALES AUTORIZADOS)",15205.52,11,113,11301,Region de Aysen,Cochrane,Capitan Prat,"""2019-02-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",117331.418682,152055187.363
29,2018-2019,4 - EL AVELLANO,"1.2.4. QUEMA ILEGAL CON OTROS FINES AGRACOLA (QUEMA SANITARIA, OTRAS)",287.64,11,114,11402,Region de Aysen,Rio Ibadez,General Carrera,"""2018-09-14T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",9888.45381132,2876433.40413
30,2018-2019,70 - CHAQUIHUAL,1.3.3. USO DE FUEGO EN FAENA DE EXTRACCICN Y/O CONFECCIIN DE LEOA NO INDUSTRIAL,568.29,10,102,10202,Region de Los Lagos,Ancud,Chilo,"""2019-02-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",12998.5298615,5682856.79578
31,2018-2019,516 - QUINAHUE 2,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),473.51,09,091,09106,Region de la Araucania,Galvarino,Cautan,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",30133.0537499,4735110.09131
32,2018-2019,512 - RADAL,1.10.6. OTRAS ACTIVIDADES NO CLASIFICADOS (COCCIBN DE LADRILLO),276.34,09,091,09105,Region de la Araucania,Freire,Cautrn,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",16940.877717,2763393.04318
33,2018-2019,510 - LLANCAMIL,2.1.11. OTROS INTENCIONALES NO CLASIFICADOS,1394.18,09,091,09113,Region de la Araucania,Perquenco,Cautun,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",57101.2108156,13941807.0975
34,2018-2019,508 - QUETRE 3,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),378.49,09,091,09106,Region de la Araucania,Galvarino,Cautan,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",15745.7027948,3784914.50694
35,2018-2019,508 - QUETRE 3,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),633.64,09,091,09106,Region de la Araucania,Galvarino,Cautan,"""2019-03-09T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",24922.1021254,6336446.67977
36,2018-2019,409 - HIJ. 213 PARTICULAR,1.9.2. CORTE DE CABLE POR CRECIMIENTO DE VEGETACILN BAJO TENDIDO ELACTRICO),303.44,09,091,09121,Region de la Araucania,Cholchol,Cautcn,"""2019-02-15T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",15498.0099017,3034446.18654
37,2018-2019,408 - PICHIPELLAHUEN 2,1.9.2. CORTE DE CABLE POR CRECIMIENTO DE VEGETACILN BAJO TENDIDO ELACTRICO),705.59,09,092,09207,Region de la Araucania,Lumaco,Malleco,"""2019-02-15T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14523.7048892,7055915.16904
38,2018-2019,383 - CALFUCO,1.9.4. CORTE DE CABLE POR OTRO ACCIDENTE O ACCICN NO CLASIFICADA,215.23,09,091,09105,Region de la Araucania,Freire,Cautrn,"""2019-02-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",8674.89358353,2152252.78523
39,2018-2019,383 - CALFUCO,1.9.4. CORTE DE CABLE POR OTRO ACCIDENTE O ACCICN NO CLASIFICADA,7.91,09,091,09105,Region de la Araucania,Freire,Cautrn,"""2019-02-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1477.63216677,79135.9731206
40,2018-2019,382 - CHUFQUEN,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),491.07,09,092,09210,Region de la Araucania,Traiguen,Malleco,"""2019-02-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",14906.4655615,4910731.31058
41,2018-2019,382 - CHUFQUEN,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),1.71,09,092,09210,Region de la Araucania,Traiguen,Malleco,"""2019-02-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",530.066820858,17122.4084116
42,2018-2019,360 - RINCONADA COLPI,4.1.2. NO DETERMINADA (LA CAUSA NO ES INVESTIGADA),931.84,09,092,09210,Region de la Araucania,Traiguen,Malleco,"""2019-02-08T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",43625.6818809,9318439.71763
43,2018-2019,343 - TRICAUCO,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),271.55,09,092,09210,Region de la Araucania,Traiguen,Malleco,"""2019-02-05T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",10207.1139482,2715511.78764
44,2018-2019,331 - MOLCO,4.1.1. DESCONOCIDA (SE INVESTIGA PERO NO ES POSIBLE ESTABLECER LA CAUSA ORIGEN),837.29,09,092,09210,Region de la Araucania,Traiguen,Malleco,"""2019-02-04T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",31938.6522723,8372892.53109
45,2018-2019,319 - CORRALES,2.1.11. OTROS INTENCIONALES NO CLASIFICADOS,701.63,09,091,09102,Region de la Araucania,Carahue,Cauthn,"""2019-02-02T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",18914.5184271,7016320.8218
46,2018-2019,315 - PAILACOYAN 2,"1.6.1. REBROTE DE INCENDIO ANTERIOR, DECLARADO CONTROLADO)",848.41,09,091,09102,Region de la Araucania,Carahue,Cauthn,"""2019-02-03T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",18608.4626407,8484066.89367
