TEMPORADA,NOM_INCEN,FECHA_INI,SUPERFICIE,PROVINCIA,COMUNA,NUMERO_REG,CAUSA,REGION,CODCOM,CODPROV,CODREG,FECHA_TER
2022-2023,El Pantano 2,3-feb-2023 22:47,1960.841616,Malleco,Traiguen,670,4.1.2. No determinada (la causa no es investigada),Araucanía,9210,92,9,23-feb-2023 15:45
2022-2023,El Avellano 3,3-feb-2023 17:57,263.340234,Malleco,Traiguen,669,4.1.2. No determinada (la causa no es investigada),Araucanía,9210,92,9,13-feb-2023 16:05
2022-2023,Curanco,3-feb-2023 20:03,2146.850315,Malleco,Los Sauces,661,4.1.2. No determinada (la causa no es investigada),Araucanía,9206,92,9,14-feb-2023 17:01
2022-2023,ReÑico,3-feb-2023 18:58,669.048757,Malleco,Lumaco,659,4.1.2. No determinada (la causa no es investigada),Araucanía,9207,92,9,23-feb-2023 17:46
2022-2023,Renicura 4,3-feb-2023 18:01,1630.509794,Cautin,Galvarino,657,1.6.1. Rebrote de incendio anterior  declarado controlado,Araucanía,9106,91,9,13-feb-2023 14:57
2022-2023,Ipingo,3-feb-2023 18:47,307.848675,Malleco,Pur__n,656,1.6.1. Rebrote de incendio anterior  declarado controlado,Araucanía,9208,92,9,23-feb-2023 12:46
2022-2023,Sector Lolen,3-feb-2023 16:55,413.526374,Cautin,Freire,655,4.1.2. No determinada (la causa no es investigada),Araucanía,9105,91,9,13-feb-2023 15:18
2022-2023,Cullinco,3-feb-2023 16:19,267.998748,Malleco,Victoria,653,4.1.2. No determinada (la causa no es investigada),Araucanía,9211,92,9,14-feb-2023 16:14
2022-2023,Blanco Lepil,3-feb-2023 14:57,385.91604,Cautin,Lautaro,648,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9108,91,9,13-feb-2023 11:54
2022-2023,Aillinco,3-feb-2023 13:27,18118.589923,Cautin,Galvarino,647,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9106,91,9,23-feb-2023 12:35
2022-2023,San Pedro,2-feb-2023 17:15,254.355111,Malleco,Ercilla,636,4.1.2. No determinada (la causa no es investigada),Araucanía,9204,92,9,14-feb-2023 16:37
2022-2023,Teruel,3-feb-2023 07:56,6497.835892,Malleco,Lumaco,634,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9207,92,9,13-feb-2023 17:37
2022-2023,Piedra Blanca y Otros (P),2-feb-2023 16:16,971.991766,Malleco,Lumaco,624,4.1.2. No determinada (la causa no es investigada),Araucanía,9207,92,9,23-feb-2023 12:38
2022-2023,Agua Fria 2,2-feb-2023 14:47,253.476267,Cautin,Lautaro,621,2.1.11. Otros intencionales no clasificados,Araucanía,9108,91,9,18-feb-2023 11:09
2022-2023,El Lingue Bajo 2,1-feb-2023 17:00,5214.936231,Malleco,Lumaco,605,1.6.1. Rebrote de incendio anterior  declarado controlado,Araucanía,9207,92,9,23-feb-2023 17:34
2022-2023,Coihue Curaco 2,30-ene-2023 18:09,910.5525,Cautin,Cholchol,580,1.8.5. Quema ilegal para limpia de caminos  canales  cunetas en predios rusticos,Araucanía,9121,91,9,13-feb-2023 14:55
2022-2023,Madilhue y Otros,29-ene-2023 15:40,337.807912,Malleco,Lumaco,568,4.1.2. No determinada (la causa no es investigada),Araucanía,9207,92,9,13-feb-2023 17:22
2022-2023,Centinela,16-ene-2023 15:21,1210.799918,Malleco,Traigu__n,442,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9210,92,9,31-ene-2023 15:08
2022-2023,Boyeco,2-ene-2023 09:09,464.877316,Malleco,Lumaco,277,2.1.4. Conflicto territorial o patrimonial,Araucanía,9207,92,9,16-ene-2023 09:42
2022-2023,Quetre,31-dic-2022 09:58,248.60566,Cautin,Galvarino,267,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9106,91,9,8-ene-2023 21:06
2022-2023,Pidenco,30-dic-2022 14:03,331.952685,Malleco,Lumaco,260,4.1.2. No determinada (la causa no es investigada),Araucanía,9207,92,9,3-ene-2023 11:58
2022-2023,Las Delicias y Otros,3-feb-2023 20:03,1990.04379,Malleco,Lumaco,248,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9207,92,9,16-ene-2023 09:42
2022-2023,Loncoyan,25-dic-2022 15:40,226.360001,Malleco,Lumaco,223,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9207,92,9,3-ene-2023 11:55
2022-2023,Miraflores,11-dic-2022 18:45,215.825666,Cautin,Lautaro,146,2.1.4. Conflicto territorial o patrimonial,Araucanía,9108,91,9,31-ene-2023 15:11
2022-2023,Santa Baldina (Lote A),5-feb-2023 12:49,250.681693,Malleco,Collipulli,1289,2.1.8. Vandalismo (excluidos terrorismo y atentado incendiario),Araucanía,9202,92,9,27-mar-2023 11:00
2022-2023,San Luis,10-mar-2023 10:25,916.494962,Malleco,Los Sauces,1006,4.1.2. No determinada (la causa no es investigada),Araucanía,9206,92,9,10-abr-2023 19:54
2022-2023,BUTACO 3 (QUILLOTA / BUTACO / TAMBILLO),3-feb-2023 14:08,11738.872553,Malleco,Angol,646,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tension  oleoductos  etc.),Araucanía,9201,92,9,23-feb-2023 13:13
2022-2023,PEDREGAL VIII REGION,3-feb-2023 15:29,2864.339446,Biobio,Los Angeles,815,2.1.11. Otros intencionales no clasificados,Biobío,8301,83,0,10-abr-2023 11:53
2022-2023,Las Toscas ñUBLE,4-feb-2023 11:50,4812.489568,Diguillin,Quillon,357,1.10.5. Soldadura y montaje de estructuras varias (torres de alta tensión  oleoductos  etc.),Ñuble,16107,161,16,24-feb-2023 18:29
2022-2023,Llico,2-feb-2023 21:07,1822.232453,Arauco,Arauco,803,1.9.3. Corte de cable por caida de tendido electrico o postacion,Biobío,8202,82,8,1-mar-2023 10:53
2022-2023,Trapiche Maule,2-feb-2023 16:38,3275.524956,Cauquenes,Cauquenes,591,4.1.2. No determinada (la causa no es investigada),Maule,7201,72,7,8-feb-2023 21:25
2022-2023,Villucura,3-feb-2023 14:35,1645.399859,Biobio,Santa Barbara,808,1.10.6. Otras actividades no clasificados (coccion de ladrillo),Biobío,8311,83,8,6-abr-2023  11:51
2022-2023,Romerillo,28-dic-2022,1189.307649,Colchagua,Pumanque,168,2.1.11. Otros intencionales no clasificados,O'Higgins,6309,63,6,2-ene-2023 19:00
